"자치구","동","동별총대수","수소차대수","고유번호","읍면동코드","읍면동영문명","위도","경도","여의도","양재","상암","하남"
"용산구","용산동5가",963,NA,189,11170127,"Yongsan-dong 5(o)-ga",37.5256032,126.9740049,0.059092691,0.082666097,0.105260505,0.234462446
"용산구","한강로3가",3194,NA,57,11170128,"Hangangno 3(sam)-ga",37.5280446,126.9632299,0.048164903,0.092349648,0.094569749,0.245190237
"용산구","이촌동",14534,1,58,11170129,"Ichon-dong",37.5188354,126.9651352,0.051418726,0.085186992,0.100859273,0.243581088
"용산구","이태원동",4821,NA,54,11170130,"Itaewon-dong",37.538862,126.9922782,0.0775403,0.081550311,0.117385633,0.216254317
"용산구","한남동",7210,NA,150,11170131,"Hannam-dong",37.5374384,127.0060971,0.091183686,0.074077452,0.131053774,0.202396102
"용산구","동빙고동",2160,NA,117,11170132,"Dongbinggo-dong",37.5235803,126.995177,0.080360956,0.067160652,0.125332355,0.213360401
"용산구","서빙고동",2160,NA,312,11170133,"Seobinggo-dong",37.5191265,126.991401,0.077153745,0.065965773,0.123731429,0.217337183
"용산구","주성동",296,NA,95,11170134,"Juseong-dong",37.5215716,127.0002868,0.085646017,0.062632426,0.130820664,0.20833778
"용산구","용산동6가",57,NA,151,11170135,"Yongsan-dong 6(yuk)-ga",37.5168611,126.9842128,0.070473842,0.069245018,0.118346837,0.224648383
"용산구","보광동",3162,1,153,11170136,"Bogwang-dong",37.5268849,127.0017003,0.086643825,0.06646363,0.130157425,0.206745082
"성동구","상왕십리동",1227,NA,138,11200101,"Sangwangsimni-dong",37.5684665,127.0255499,0.116621192,0.099965399,0.145726428,0.186595336
